team_name,team_name_short,team_id,team_id_pfr,team_conference,team_division,team_conference_pre2002,team_division_pre2002
Arizona Cardinals,Cardinals,ARI,CRD,NFC,NFC West,NFC,NFC West
Atlanta Falcons,Falcons,ATL,ATL,NFC,NFC South,NFC,NFC West
Baltimore Ravens,Ravens,BAL,RAV,AFC,AFC North,AFC,AFC Central
Boston Patriots,Patriots,BOS,NWE,AFC,,AFC,
Buffalo Bills,Bills,BUF,BUF,AFC,AFC East,AFC,AFC East
Carolina Panthers,Panthers,CAR,CAR,NFC,NFC South,NFC,NFC West
Chicago Bears,Bears,CHI,CHI,NFC,NFC North,NFC,NFC Central
Cincinnati Bengals,Bengals,CIN,CIN,AFC,AFC North,AFC,AFC Central
Cleveland Browns,Browns,CLE,CLE,AFC,AFC North,AFC,AFC Central
Baltimore Colts,Colts,CLT,CLT,AFC,,AFC,AFC East
Phoenix Cardinals,Cardinals,CRD,CRD,NFC,,NFC,NFC East
Dallas Cowboys,Cowboys,DAL,DAL,NFC,NFC East,NFC,NFC East
Denver Broncos,Broncos,DEN,DEN,AFC,AFC West,AFC,AFC West
Detroit Lions,Lions,DET,DET,NFC,NFC North,NFC,NFC Central
Green Bay Packers,Packers,GB,GNB,NFC,NFC North,NFC,NFC Central
Houston Oilers,Oilers,HOI,OTI,AFC,,AFC,AFC Central
Houston Texans,Texans,HOU,HTX,AFC,AFC South,AFC,
Indianapolis Colts,Colts,IND,CLT,AFC,AFC South,AFC,AFC East
Jacksonville Jaguars,Jaguars,JAX,JAX,AFC,AFC South,AFC,AFC Central
Kansas City Chiefs,Chiefs,KC,KAN,AFC,AFC West,AFC,AFC West
LA Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
Los Angeles Rams,Rams,LAR,RAM,NFC,NFC West,NFC,NFC West
Las Vegas Raiders,Raiders,LVR,RAI,AFC,,AFC,AFC West
Miami Dolphins,Dolphins,MIA,MIA,AFC,AFC East,AFC,AFC East
Minnesota Vikings,Vikings,MIN,MIN,NFC,NFC North,NFC,NFC Central
New England Patriots,Patriots,NE,NWE,AFC,AFC East,AFC,AFC East
New Orleans Saints,Saints,NO,NOR,NFC,NFC South,NFC,NFC West
NY Giants,Giants,NYG,NYG,NFC,NFC East,NFC,NFC East
NY Jets,Jets,NYJ,NYJ,NFC,AFC East,NFC,AFC East
Oakland Raiders,Raiders,OAK,RAI,AFC,AFC West,AFC,AFC West
Philadelphia Eagles,Eagles,PHI,PHI,NFC,NFC East,NFC,NFC East
Pittsburgh Steelers,Steelers,PIT,PIT,AFC,AFC North,AFC,AFC Central
Los Angeles Raiders,Raiders,RAI,RAI,AFC,,AFC,AFC West
St. Louis Cardinals,Cardinals,SCA,ARI,NFC,,NFC,NFC East
San Diego Chargers,Chargers,SDC,SDG,AFC,AFC West,AFC,AFC West
Seattle Seahawks,Seahawks,SEA,SEA,NFC,NFC West,AFC,AFC West
San Francisco 49ers,49ers,SF,SFO,NFC,NFC West,NFC,NFC West
St. Louis Rams,Rams,STL,RAM,NFC,,NFC,NFC West
Tampa Bay Buccaneers,Buccaneers,TB,TAM,NFC,NFC South,NFC,NFC Central
Tennessee Titans,Titans,TEN,OTI,AFC,AFC South,AFC,AFC Central
Tennessee Oilers,Oilers,TEO,OTI,AFC,,AFC,AFC Central
Washington Redskins,Washington,WRS,WAS,NFC,NFC East,NFC,NFC East
Washington Football Team,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
